"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"FGF14",1.5074936841018,0.00371278704947439,46.8285714285714,"Up-regulated","ENSG00000102466"
"NCAM1",1.50687806663543,0.00610617416715893,1701.42857142857,"Up-regulated","ENSG00000149294"
"SDCBP2",1.50329250805001,0.000102954566690045,105,"Up-regulated","ENSG00000125775"
"MASP1",-1.50274097859924,7.45596947167525e-05,1359.51428571429,"Down-regulated","ENSG00000127241"
"ARSJ",1.49982384571168,4.3967824707224e-05,53.5714285714286,"Up-regulated","ENSG00000180801"
"B3GALT1",-1.49123403459004,0.0195025781441696,334.371428571429,"Down-regulated","ENSG00000172318"
"HS3ST1",1.48340935712025,0.00884461489924642,62.9142857142857,"Up-regulated","ENSG00000002587"
"ARSD",1.48225774214095,8.5808391838979e-05,340.771428571429,"Up-regulated","ENSG00000006756"
"LGALS9",1.48023569887124,9.70009529645407e-05,653.542857142857,"Up-regulated","ENSG00000168961"
"PGGHG",1.46723104277631,0.00053236763088058,1704.4,"Up-regulated","ENSG00000142102"
"CD74",1.46236485617155,0.000498406923984536,26056.4,"Up-regulated","ENSG00000019582"
"CLEC18A",1.44759494504911,0.00636855295605332,41.0571428571428,"Up-regulated","ENSG00000157322"
"NLGN3",1.43965869812631,0.00209348994454863,47.0571428571429,"Up-regulated","ENSG00000196338"
"CLEC4A",1.43153966187978,0.00155347062098212,102.228571428571,"Up-regulated","ENSG00000111729"
"CEMIP",1.42683830324018,0.00748316365256944,41.4571428571429,"Up-regulated","ENSG00000103888"
"GLT8D2",1.41694741840078,0.000251608419550545,378.6,"Up-regulated","ENSG00000120820"
"MAN1A1",1.41587500832584,1.48412548991344e-05,1635.37142857143,"Up-regulated","ENSG00000111885"
"CRYBG1",1.41286579391347,0.000913335223578643,501.8,"Up-regulated","ENSG00000112297"
"ALDOC",1.3959037361225,0.00186572656366245,351.285714285714,"Up-regulated","ENSG00000109107"
"GPC2",1.38239886810532,0.00168175732139198,52.1142857142857,"Up-regulated","ENSG00000213420"
"MGAT5B",1.38054844884774,0.0369881645988328,14.1714285714286,"Up-regulated","ENSG00000167889"
"CLEC2L",-1.38042889034791,0.0063132074737232,57,"Down-regulated","ENSG00000236279"
